koi,kepid,prot,prot_ref,prot_numflag,a18_prot,m13_prot,m15_prot,w13_prot
1944,2438513.0,13.31,a18,3.0,13.31,13.54,13.23,13.63
1945,,,,0.0,,,,
1947,12253474.0,,,1.0,33.27,,,
1951,8081187.0,,,1.0,13.82,,41.82,
1952,7747425.0,,,1.0,,,,
1955,9892816.0,7.25,a18,2.0,7.25,,14.36,
1958,9836149.0,10.61,a18,3.0,10.61,10.53,10.39,
1960,6949061.0,,,1.0,6.9,,71.81,
1961,7269493.0,20.98,a18,3.0,20.98,20.58,,21.71
1964,7887791.0,26.25,a18,2.0,26.25,25.78,25.72,31.85
1970,9650808.0,,,1.0,,,47.63,
1978,9518318.0,21.93,m15,3.0,,22.22,21.93,23.78
1979,7273277.0,,,1.0,23.9,33.94,62.18,17.43
1980,11769890.0,22.49,a18,3.0,22.49,22.06,21.98,17.03
1984,10094670.0,13.91,a18,2.0,13.91,,13.88,
1985,8142942.0,25.43,a18,3.0,25.43,25.79,25.65,11.91
1988,9044228.0,35.2,m15,2.0,,34.92,35.2,35.62
1989,10779233.0,19.46,a18,3.0,19.46,18.79,18.8,9.35
1992,11450414.0,,,1.0,,,55.64,
2001,6061773.0,16.64,a18,3.0,16.64,16.36,16.32,17.03
2002,10024701.0,10.07,a18,3.0,10.07,10.12,10.1,
2004,12154526.0,,,1.0,22.37,,31.85,
2007,11069176.0,15.03,a18,3.0,15.03,15.0,,18.73
2009,2449431.0,21.32,a18,2.0,21.32,,73.07,
2010,5631630.0,7.12,a18,2.0,7.12,,,
2011,5384079.0,4.04,a18,2.0,4.04,3.88,3.9,
2012,9839821.0,13.3,m15,3.0,,13.24,13.3,12.93
2016,8492026.0,19.69,a18,2.0,19.69,,19.33,
2017,8750043.0,12.04,a18,3.0,12.04,11.82,11.87,12.09
2022,8564674.0,7.82,m15,3.0,,7.8,7.82,7.69
2026,11923284.0,9.83,a18,3.0,9.83,9.75,9.72,9.35
2029,9489524.0,16.06,a18,3.0,16.06,15.98,16.07,16.66
2035,9790806.0,7.17,a18,3.0,7.17,7.04,7.06,3.6
2037,9634821.0,,a18,3.0,,10.74,,10.56
2038,8950568.0,23.85,a18,3.0,23.85,23.5,23.5,24.55
2039,8804845.0,17.36,a18,3.0,17.36,17.42,17.29,17.84
2040,10480915.0,,,1.0,,,51.86,
2043,3448130.0,12.08,a18,2.0,12.08,,11.38,
2044,9656252.0,17.55,a18,3.0,17.55,17.6,17.58,
2046,10663396.0,,,1.0,13.85,,16.8,
2047,11457726.0,10.92,a18,2.0,10.92,10.71,10.63,
2048,,,,0.0,,,,
2049,9649706.0,,,1.0,15.7,,12.19,
2051,7265298.0,,,1.0,,,27.78,
2053,2307415.0,10.24,a18,2.0,10.24,,9.84,
2071,6035124.0,32.86,a18,2.0,32.86,,35.04,
2072,12058147.0,,,1.0,20.45,,83.49,
2073,8164257.0,36.02,m15,2.0,,,36.02,
2076,9517393.0,,,1.0,,,45.02,
2079,9473078.0,33.06,a18,2.0,33.06,,58.13,26.74
2081,,,,0.0,,,,
2082,9472000.0,15.37,a18,2.0,15.37,,13.69,
2086,6768394.0,,,1.0,13.23,,74.29,
2087,6922710.0,14.05,a18,3.0,14.05,13.87,13.76,
2092,6696580.0,,,1.0,,,17.91,
2093,6525946.0,,,1.0,15.53,,72.43,
2094,8505920.0,19.47,m15,3.0,,19.37,19.47,19.03
2098,6105462.0,,,1.0,20.88,,51.55,
2105,8165946.0,16.53,a18,2.0,16.53,,32.41,20.25
2109,11499228.0,11.26,a18,2.0,11.26,10.98,11.13,11.36
2110,11460462.0,4.39,a18,3.0,4.39,4.19,4.26,4.15
2111,8612275.0,10.28,a18,3.0,10.28,10.25,10.19,9.35
2115,9532052.0,10.77,a18,3.0,10.77,10.46,10.57,
2119,4055304.0,18.35,a18,3.0,18.35,17.98,17.95,17.84
2120,4857213.0,20.17,a18,3.0,20.17,19.88,19.94,
2135,9904006.0,10.05,a18,2.0,10.05,,3.22,
2137,9364609.0,23.92,a18,2.0,23.92,,13.21,
2143,11403339.0,30.68,m15,2.0,15.47,,30.68,
2147,10404582.0,,,1.0,,,12.91,
2148,6021193.0,,,1.0,17.11,,50.68,
2149,10617017.0,7.49,m15,2.0,21.95,7.42,7.49,
2153,10253547.0,,,1.0,12.0,,45.5,
2158,5211199.0,,,1.0,34.79,,50.7,
2159,8804455.0,19.78,a18,3.0,19.78,19.12,19.0,
2162,9205938.0,,,1.0,,,31.56,
2167,6041734.0,10.66,m13,3.0,,10.66,,10.56
2168,11308499.0,,,1.0,,,57.99,
2169,9006186.0,27.22,a18,3.0,27.22,27.63,27.58,13.88
2173,11774991.0,15.41,a18,3.0,15.41,17.07,16.51,17.03
2175,9022166.0,20.93,a18,2.0,20.93,,50.51,
2183,5706595.0,,,1.0,,,57.24,
2188,10518424.0,,,1.0,,,20.69,
2194,3548044.0,,,1.0,23.09,,148.58,
2195,11401767.0,,,1.0,,,43.7,
2201,2141783.0,,,0.0,11.88,,11.26,
2202,4144576.0,26.76,m15,3.0,54.92,26.89,26.76,13.39
2208,10531955.0,22.18,a18,2.0,22.18,,22.1,
