 1865136 14.219 0.234 2051034457955133952 290.705 0.020 37.393 0.024   -5.439  0.541  10.254   2.380 1.757 1.279 6786.477  2.527 0.006
 1865174 16.112 3.049 2051034389235656704 290.714 0.017 37.383 0.020  -14.511  3.542  10.424   2.442 1.758 0.873 5823.650  4.809 0.012
 1865206 22.790 0.434 2051031017680073984 290.719 0.017 37.313 0.020    4.108  3.507  10.066   2.311 1.756 1.312 5439.089  5.449 0.009
 1865305  8.270 0.012 2051035591826501632 290.741 0.013 37.360 0.016    1.957         10.061   2.310 1.756 0.590 6552.306  2.812 0.009
 1865477 36.879 0.213 2051032293291440128 290.786 0.024 37.311 0.028  -10.004  3.382  18.659   6.110 1.790 1.819 5120.376  5.888 0.005
 1865519  9.839 0.999 2051032705608343552 290.794 0.015 37.368 0.018    0.424  0.533  13.865   3.827 1.773 1.397 6307.701  2.329 0.004
 1865674 14.861 0.078 2051031709175938304 290.832 0.013 37.341 0.015    1.665  3.477   9.075   1.963 1.751 0.769 5396.223  5.453 0.016
 1865698 14.320 0.020 2051031709175943936 290.838 0.012 37.343 0.015    0.639  3.433  10.149   2.341 1.757 0.570 5346.228  5.441 0.012
 1865864 21.602 0.105 2051032155852580864 290.873 0.023 37.362 0.030   34.113  3.497  13.334   3.599 1.771 0.869 4894.664  6.329 0.006
 1865925 22.505 0.051 2051031880974676480 290.891 0.025 37.350 0.034   15.049  3.418  15.875   4.737 1.781 0.890 4810.910  6.397 0.008
 1866058 23.895 0.110 2052533126662184704 290.920 0.024 37.368 0.032   21.865  3.499  14.644   4.172 1.776 0.952 4687.161  6.410 0.007
 1866182 11.290 0.775 2051019820706528768 290.948 0.018 37.318 0.025    3.301  3.542   8.144   1.655 1.746 0.725 4793.905  5.509 0.015
 1866924 27.240 0.277 2052519142248798464 291.132 0.014 37.360 0.018   12.996  3.327  14.637   4.169 1.776 0.963 4141.530  7.224 0.005
 1866985 12.966 0.139 2052519275385764096 291.148 0.021 37.386 0.026  -16.556  3.370  12.233   3.142 1.766 0.601 5405.864  5.737 0.014
 1866986 37.348 0.182 2052518077096894464 291.148 0.020 37.317 0.026   10.357  3.441  11.909   3.012 1.765 1.326 3805.024  8.056 0.001
 1867210 16.439 0.034 2052519417126757888 291.201 0.015 37.380 0.019    4.153  3.418   9.204   2.007 1.752 0.714 4855.234  6.209 0.009
 1867358 32.879 0.735 2052518317615126528 291.240 0.031 37.332 0.037   -9.342  3.391  19.841   6.731 1.794 0.808 3755.124  8.202 0.004
 1867462 16.527 0.144 2052524399288852736 291.264 0.017 37.383 0.021   20.492         14.312   4.023 1.775 0.673 4463.371  6.827 0.008
